name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
One Private Bedroom in J.P.,Jamaica Plain,Private room,1.0,1.0,91,120.0,365,38,92.0,0
1 bedroom and private bathroom,Brighton,Private room,1.0,1.0,3,67.0,0,224,93.0,0
Great location! Modern 2BD 2 BA w/Parking,South Boston,Entire home/apt,2.0,2.0,2,264.0,261,199,96.0,0
Historic Boston North End Condo,North End,Entire home/apt,1.0,1.0,91,195.0,365,169,98.0,1
I bdrm in Boston/Allston/Brookline,Allston,Entire home/apt,1.0,1.0,30,125.0,172,48,97.0,1
The Upton Boston - The Clare Suite,South End,Entire home/apt,1.0,1.0,5,150.0,53,31,98.0,1
Sunny Private Room & Bath in JP: Breakfast+Parking,Jamaica Plain,Private room,1.0,1.0,2,112.0,306,182,98.0,1
Sparkling New 2BR / 2BA in Back Bay,Back Bay,Entire home/apt,2.0,2.0,10,316.0,348,178,99.0,1
Modern South End Pied a Terre | 1BR 1BA,Roxbury,Entire home/apt,1.0,1.0,28,144.0,16,88,87.0,0
Light-filled Private Suite on Beautiful Street,Jamaica Plain,Entire home/apt,1.0,1.0,2,149.0,67,130,99.0,1
* Brownstone Classic South End,South End,Entire home/apt,1.0,1.0,2,119.0,0,409,97.0,1
Sunny Beacon Hill private 1 bedroom,Downtown,Entire home/apt,1.0,1.0,91,90.0,198,35,93.0,0
The Upton Boston - The Upton,South End,Entire home/apt,1.0,1.0,4,135.0,337,29,96.0,1
Charming comfort 1 BR / Studio,Brighton,Entire home/apt,1.0,1.0,91,52.0,326,14,96.0,1
Cozy room in a charming villa.,Roslindale,Private room,1.0,2.5,2,40.0,237,41,99.0,1
"Beautiful Boston NEnd spacious & Light 2Bd, 1BA-2D",North End,Entire home/apt,2.0,1.0,28,160.0,274,144,91.0,1
"Modern loft, walk to subway",Allston,Private room,1.0,1.0,91,85.0,0,12,85.0,0
Charlesview Suites Back Bay,Fenway,Entire home/apt,1.0,1.0,3,280.0,359,77,94.0,0
Lofty Modern 2BD Apt 800 sq ft,Bay Village,Entire home/apt,2.0,1.0,2,200.0,0,26,98.0,1
Perfect Location to Explore Boston,Beacon Hill,Entire home/apt,1.0,1.0,180,150.0,55,100,97.0,1
Boston's Most Historic District!,Charlestown,Entire home/apt,1.0,1.0,91,149.0,0,52,98.0,1
"""Tranquility"" on ""Top of the Hill""",Roslindale,Private room,1.0,2.0,91,85.0,365,75,97.0,0
3BR / 2BA + Prvt Deck in Back Bay,Back Bay,Entire home/apt,3.0,2.0,6,425.0,363,184,98.0,1
BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,Hyde Park,Entire home/apt,4.0,1.5,2,229.0,1,93,98.0,1
Luxury Sunny Hill Garden Townhouse Suite 1,Roxbury,Entire home/apt,3.0,3.5,28,600.0,365,14,82.0,0
Garden Oasis #1,Jamaica Plain,Private room,1.0,1.0,91,95.0,0,27,98.0,0
2bd APT 20min from Downtown Boston,Hyde Park,Entire home/apt,2.0,1.0,91,89.0,329,33,88.0,1
1bd Boston apt - Convenient & quiet,Roslindale,Entire home/apt,1.0,1.0,3,135.0,0,117,97.0,1
"Garden Suite near subway, beach",Dorchester,Entire home/apt,1.0,1.0,91,120.0,365,202,90.0,0
Quiet Southie 2bd Near the Beach and Broadway,South Boston,Entire home/apt,2.0,1.0,28,75.0,31,21,92.0,1
Brownstone Bedroom Park & Garden Views by LMA & T,Roxbury,Private room,1.0,1.0,2,103.0,132,236,99.0,1
"Eagle Sea view,15min metro ride to center,safe st!",Dorchester,Private room,1.0,2.5,91,70.0,365,93,93.0,0
4th of July Dream Spot!,Back Bay,Entire home/apt,1.0,1.0,91,248.0,0,27,89.0,0
Luxury Beacon Hill Apartment 1-BR,Beacon Hill,Entire home/apt,1.0,1.0,91,188.0,275,251,96.0,1
The Roseclair | 3BR 1BA | 2nd Floor near UMass Boston Redline T station!,Dorchester,Entire home/apt,3.0,1.0,32,129.0,237,31,88.0,0
The Artist room in beautiful villa.,Roslindale,Private room,1.0,2.5,2,50.0,237,23,96.0,1
"Modern, Spacious 1BR for 4 - Easy Marathon Access!",Roxbury,Entire home/apt,1.0,1.0,91,167.0,314,254,95.0,0
Sunny Two Bedroom Condo,Dorchester,Entire home/apt,2.0,1.0,1,125.0,0,172,95.0,0
Stylish flat near subway/Harvard/BU/BC & Food!,Allston,Private room,1.0,1.0,29,59.0,363,53,96.0,0
Earth Sanctuary of Abundant Health,Jamaica Plain,Private room,1.0,1.0,29,74.0,296,221,96.0,1
Grand Colonial in Historic Boston.,Charlestown,Entire home/apt,4.0,3.0,32,253.0,241,275,96.0,0
Beacon Hill Fabulous One Bedroom Apartment,Beacon Hill,Entire home/apt,1.0,1.0,28,232.0,82,237,98.0,1
The Hedges: Sunny urban garden home with breakfast,Jamaica Plain,Private room,2.0,1.0,1,94.0,0,128,98.0,1
Minutes to Boston-Near Beach 69-1,East Boston,Private room,1.0,2.5,91,42.0,90,91,88.0,0
Sunny bedroom in large quiet house,Roslindale,Private room,1.0,1.5,30,85.0,53,56,99.0,1
