name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
"Upscale 2 Bdrm Suite: Kitchen, Spa Bathroom, WiFi",Dorchester,Entire home/apt,2.0,1.0,28,110.0,152,112,99.0,1
"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",Fenway,Entire home/apt,1.0,1.0,9,130.0,88,28,91.0,1
Modern Design+Convenience in Historic Neighborhood,South End,Entire home/apt,1.0,1.0,91,75.0,1,31,93.0,0
Victorian Treetop Apartment - Close to Everything!,Jamaica Plain,Entire home/apt,2.0,1.0,5,185.0,315,33,100.0,1
"Small, Neat bedroom near T",Charlestown,Private room,1.0,1.0,91,48.0,365,63,87.0,0
Fabulous North End 3 BR | 1.5 BA in Little Italy,North End,Entire home/apt,3.0,1.5,7,229.0,0,154,99.0,1
Top-of-the-hill 1882 Victorian house.,Dorchester,Private room,2.0,1.0,3,80.0,151,100,95.0,0
Huge Luxury 2 Story Brownstone with Roofdeck,Roxbury,Entire home/apt,2.0,2.0,2,133.0,67,188,94.0,0
Large 4BDR near Harvard with Parking,Allston,Entire home/apt,4.0,2.5,1,1250.0,0,136,98.0,0
Beautiful Charlestown Condo!,Charlestown,Entire home/apt,1.0,1.0,91,160.0,68,49,99.0,1
Clean & Spacious 2 bedroom Near Downtown,Dorchester,Entire home/apt,2.0,1.0,2,165.0,176,104,97.0,1
Artist Luxury Apt in Boston Free Park & Walk to T,Allston,Entire home/apt,2.0,1.5,91,248.0,115,71,97.0,0
Super nice room for renting locate at city center,Fenway,Private room,1.0,1.0,91,60.0,179,13,84.0,0
~*Pet Friendly 30min to Downtown*~ THE BOSTONIAN,Hyde Park,Entire home/apt,2.0,1.0,1,66.0,214,123,97.0,1
Garden room next to T stop/bus hub.,Charlestown,Private room,1.0,1.0,1,59.0,84,48,97.0,1
Charming Loft w. Jacuzzi - 20min to Boston,Dorchester,Entire home/apt,2.0,1.0,28,86.0,212,94,99.0,1
1 bedroom/studio in southie,South Boston,Entire home/apt,1.0,1.0,91,120.0,179,20,89.0,0
Stunning Boston 1B/1B Condo,West End,Entire home/apt,1.0,1.0,91,175.0,362,14,97.0,1
2 beds Garden Apt-calm oasis next to T stop -3 min,Charlestown,Private room,2.0,1.0,14,122.0,84,144,94.0,1
#104 Boston 独立房 全楼禁烟AC room,Dorchester,Private room,1.0,2.0,30,50.0,79,83,94.0,1
Cozy Southie pad 3,South Boston,Entire home/apt,1.0,1.0,91,250.0,365,83,98.0,0
Large bedroom 1st floor with AC,Brighton,Private room,1.0,3.0,1,40.0,323,159,97.0,1
Room in garden apartment next to T stop / bus hub,Charlestown,Private room,1.0,1.0,1,55.0,84,46,97.0,1
Clean room with AC/Free parking,Brighton,Private room,1.0,3.0,1,40.0,357,101,96.0,1
Comfortable 1 BR steps from public transportation,Dorchester,Entire home/apt,1.0,1.0,3,120.0,88,85,97.0,1
"Charming, Quiet Fort Hill One-Bedroom",Roxbury,Private room,1.0,1.0,2,85.0,173,54,99.0,0
Brand New 1 BR | 1 BA on Charles St,Beacon Hill,Entire home/apt,1.0,1.0,10,176.0,337,195,99.0,1
#103 Boston private AC room 可讲国语禁止吸烟,Dorchester,Private room,1.0,2.0,30,48.0,52,44,95.0,1
Maria's JP Rental - Boston Duplex in Jamaica Plain,Jamaica Plain,Entire home/apt,2.0,1.0,4,200.0,212,19,99.0,1
Luxury Treetop Jamaica Plain Arboretum Townhouse,Jamaica Plain,Entire home/apt,3.0,2.5,14,200.0,0,11,100.0,0
"All the comforts of home, quiet city neighborhood",Brighton,Entire home/apt,2.0,1.0,1,122.0,41,156,99.0,1
Fantastic 2 Bedroom Apartment,Roslindale,Entire home/apt,2.0,1.0,2,200.0,358,21,98.0,1
South Boston. Minutes away from Convention Center,South Boston,Entire home/apt,1.0,2.0,2,220.0,242,48,98.0,1
Clean room plus free parking(No TV),Brighton,Private room,1.0,3.0,1,40.0,352,21,98.0,1
A Victorian Secret AMAZING apt.  in Historic Home,Roxbury,Entire home/apt,2.0,1.0,2,220.0,359,112,100.0,1
Great Family Retreat min2Downtown Disney+FreePrk,Dorchester,Entire home/apt,3.0,2.0,2,504.0,308,93,97.0,1
Downtown Destination | near Back Bay,Back Bay,Entire home/apt,2.0,1.0,91,311.0,250,164,93.0,0
Copley Square/South End,South End,Entire home/apt,2.0,2.5,3,800.0,0,67,100.0,1
Beautifully renovated apartment in the trees,Jamaica Plain,Entire home/apt,3.0,1.0,2,268.0,253,46,97.0,0
❤️of Boston / walkers paradise / CLEAN❗️,South End,Entire home/apt,1.0,1.0,2,144.0,171,173,95.0,1
★ The Antler Room | Close to Subway + Downtown ★,Dorchester,Private room,1.0,1.0,2,69.0,142,121,98.0,1
✪Elegant King 4mi to D-town freepk walk to train,Dorchester,Private room,1.0,2.0,7,266.0,65,37,94.0,1
Sunny room with AC,Brighton,Private room,1.0,3.0,1,41.0,344,128,97.0,1
Spacious Condo with Patio near BCEC!,South Boston,Entire home/apt,3.0,2.0,2,500.0,0,35,99.0,1
Nice Room in Friendly House,Jamaica Plain,Private room,1.0,1.5,1,65.0,179,68,95.0,0
"Entire floor, private bath, 2 mins walk to subway",Dorchester,Private room,1.0,1.0,2,81.0,90,189,99.0,1
Private & serene getaway in beautiful JP,Jamaica Plain,Entire home/apt,1.0,1.0,6,158.0,351,153,99.0,1
Perfect 1BR apt S End/B Bay border - Copley Sq,South End,Entire home/apt,1.0,1.0,2,232.0,59,166,100.0,1
Room for up to 4 in Updated 1 BR apt by T!,Roxbury,Entire home/apt,1.0,1.0,91,149.0,144,159,94.0,0
Keyless Entry 3 Bedroom in Historic Mission Hill,Roxbury,Entire home/apt,3.0,1.0,2,175.0,74,218,96.0,1
"Cozy home,easy access to Downtown&Longwood Medical",Dorchester,Private room,1.0,1.0,91,40.0,0,13,92.0,0
✪2Doublebeds 4m to Downtown walk to subway freepk✪,Dorchester,Private room,1.0,2.0,6,236.0,11,72,94.0,1
Minion? Convention Center/Subway 1 bed 287-1A,South Boston,Entire home/apt,1.0,1.0,91,80.0,269,119,99.0,0
"NEW 2nd Floor, 2BR Downtown Boston",Chinatown,Entire home/apt,2.0,1.0,3,200.0,171,157,96.0,0
"NEW 3rd Floor, 2BR Downtown Boston",Chinatown,Entire home/apt,2.0,1.0,3,166.0,176,132,95.0,0
NEW B 1BR Downtown Boston,Chinatown,Entire home/apt,1.0,1.0,28,105.0,331,208,97.0,0
Charming South End Duplex (Pets Ok),South End,Entire home/apt,2.0,1.0,2,350.0,347,205,99.0,1
"NEW 1st Floor, 1BR Downtown Boston",Chinatown,Entire home/apt,1.0,1.0,28,120.0,336,141,97.0,0
Transportation Accessible Home,Dorchester,Entire home/apt,4.0,1.0,2,161.0,359,123,90.0,0
⍟ Lofty South End Penthouse w/Street Parking! ⍟,South End,Entire home/apt,2.0,1.0,28,170.0,0,17,100.0,1
Charming 1 bedroom Condo in Historic South End,Roxbury,Entire home/apt,1.0,1.0,1,228.0,324,152,98.0,1
Brand New North End Luxurious One Bedroom Condo up,North End,Entire home/apt,1.0,1.0,91,100.0,147,14,100.0,0
★ The Buddha Room | Close to Subway + Downtown ★,Dorchester,Private room,1.0,1.0,2,59.0,21,80,99.0,1
"Private, cls to Boston Landing & Harvard Business",Allston,Private room,1.0,1.0,1,70.0,165,103,92.0,0
3BR 2.5Bath 2Parking By DWTN Airport BCEC Seaport,South Boston,Entire home/apt,3.0,2.5,1,366.0,131,167,97.0,1
1 Mile to Downtown Boston. Studio Apt. Brownstone.,Roxbury,Entire home/apt,1.0,1.0,2,78.0,18,143,89.0,0
Master Bedroom/Private Bathroom/Mission Hill/JP,Mission Hill,Private room,1.0,1.0,32,300.0,364,77,93.0,1
Newly Renovated 1 BR close to T and Northeastern!,Roxbury,Entire home/apt,1.0,1.0,91,143.0,180,98,94.0,0
#101 Boston New heating AC room 全樓禁烟讲国语,Dorchester,Private room,1.0,2.0,60,50.0,365,28,94.0,1
"Nice 1BD, Quick to Downtown, Free Parking",Roxbury,Private room,1.0,1.0,1,45.0,0,119,96.0,1
"★ Sunny, Spacious & Modern ★ Cleaned & Sanitized!",East Boston,Private room,1.0,2.0,1,56.0,175,445,98.0,1
Private room near Harvard Stadium,Brighton,Private room,1.0,1.0,91,69.0,296,22,90.0,0
"Walk To The Beach or City, Room 3",Dorchester,Private room,1.0,1.0,1,53.0,353,156,90.0,0
Twin Beds near Harvard Stadium/BU,Allston,Private room,1.0,1.0,91,89.0,365,45,95.0,0
Warm and serene home in Roslindale part of Boston,Roslindale,Private room,1.0,1.0,2,60.0,88,69,97.0,1
"1 Bed Penthouse, private roof-deck. Best location.",South End,Entire home/apt,1.0,1.0,3,249.0,0,37,100.0,1
"Cozy, comfortable, and convenient.",Jamaica Plain,Private room,1.0,1.0,91,70.0,0,12,98.0,0
Spacious and Quiet Apartment in Roslindale,Roslindale,Entire home/apt,2.0,1.0,20,186.0,348,39,97.0,1
★ Spacious & Modern ★ Professionally Sanitized ★,East Boston,Private room,1.0,2.0,1,56.0,174,485,98.0,1
"★ Modern, Cozy & Convenient ★ Close to Downtown!",East Boston,Private room,1.0,2.0,1,56.0,178,393,98.0,1
★Clean | Cozy Bedroom - Close to Subway & Airport★,East Boston,Private room,1.0,2.0,1,56.0,175,425,99.0,1
"M&R - Private Bdrm Living Room, Bathroom & Parking",Dorchester,Private room,1.0,1.0,2,109.0,85,92,96.0,1
FLEXIBLE LEASES Downtown 4 Beds  2 Bath Boston,Downtown,Entire home/apt,2.0,2.0,91,799.0,296,151,95.0,0
Newly Renovated Harborside Charmer - Near Airport,East Boston,Entire home/apt,1.0,1.0,2,135.0,0,218,97.0,1
South Boston room in 3bed condo next to the beach!,South Boston,Private room,1.0,1.0,4,60.0,0,40,95.0,0
Beacon Hill 1brm - walk everywhere!,Beacon Hill,Entire home/apt,1.0,1.0,10,112.0,88,136,96.0,0
Updated single family steps to Roslindale Village,Roslindale,Entire home/apt,3.0,2.5,3,150.0,175,15,90.0,0
"Cape Cod Room, With Private Bath-Townhouse-RedLine",Dorchester,Private room,1.0,1.5,1,53.0,116,409,100.0,1
Family Friendly Colorful Home - close to Subway!,Jamaica Plain,Entire home/apt,2.0,1.0,91,180.0,0,18,90.0,0
"Comfortable Stay, not far from Downtown and Fenway",Roxbury,Private room,1.0,2.0,1,55.0,173,186,94.0,0
"2Twin Beds close to MBTA, short distance to Fenway",Roxbury,Private room,1.0,2.0,1,55.0,174,138,90.0,0
Escape Noisy City in Comfy/Spacious Private Room,Roslindale,Private room,1.0,1.0,2,60.0,362,57,94.0,0
"Comfortable 3rd floor apartment,closed to Boston",East Boston,Entire home/apt,1.0,1.0,1,200.0,0,239,99.0,1
Cozy Room 3,Dorchester,Private room,1.0,1.0,2,37.0,200,132,93.0,0
Cozy Room 2,Dorchester,Private room,1.0,1.0,1,45.0,179,71,92.0,0
Shabby-Chíc Condo Steps to Airport & Subway,East Boston,Entire home/apt,2.0,1.0,1,140.0,6,287,97.0,0
"2Twin Beds close to Northeastern University, MBTA",Roxbury,Private room,1.0,2.0,1,55.0,175,122,91.0,0
"Queen Bed near subway, short distance to Fenway",Roxbury,Private room,1.0,2.0,1,55.0,176,149,91.0,0
Rustic & Renovated 3BR Steps to Airport & Subway,East Boston,Entire home/apt,3.0,1.0,1,150.0,23,229,94.0,0
10 Allston,Allston,Private room,1.0,1.0,91,50.0,0,27,92.0,0
#3 Samuel Adam neighborhood Boston vicinity (T),Jamaica Plain,Private room,1.0,1.0,91,52.0,296,80,94.0,0
✪SunnyDouble min 2 Fenway/DT walk to subway freepk,Dorchester,Private room,1.0,2.0,7,277.0,11,17,95.0,1
Trendy 1 bed in luxury seaport building,South Boston Waterfront,Entire home/apt,1.0,1.0,91,465.0,365,12,87.0,0
Oceanview Unit 2R for 10 mins to Boston /airport,East Boston,Entire home/apt,2.0,1.0,1,128.0,217,138,89.0,0
Brownstone|Contemporary Newbury Place|1BR 1BA #6,Back Bay,Entire home/apt,1.0,1.0,2,83.0,31,73,89.0,0
Charming Quaint|Heart of Back Bay|1BR 1BA #5,Back Bay,Entire home/apt,1.0,1.0,2,83.0,23,53,89.0,0
Brownstone|Shopping & Food on Newbury|1BR 1BA #4,Back Bay,Entire home/apt,1.0,1.0,2,83.0,48,53,90.0,0
Modern Upscale Newbury Street | 1BR 1 BA #1,Back Bay,Entire home/apt,1.0,1.0,2,93.0,141,73,92.0,0
Trendy Flat|Bright + Light Southie| 1BR 1BA #201,South Boston Waterfront,Entire home/apt,1.0,1.0,28,200.0,308,69,89.0,0
New|Shoppers|Foodies|Newbury|Suite 1BR 1BA #2,Back Bay,Entire home/apt,1.0,1.0,2,83.0,90,96,93.0,0
So Central|Trendy Apt. in Southie 1BR 1BA #301,South Boston,Entire home/apt,1.0,1.0,28,205.0,289,76,92.0,0
Southie Chill Spot|1 BR 1BA #401,South Boston,Entire home/apt,1.0,1.0,28,200.0,211,47,91.0,0
"Spacious 2 bedroom, 2 bathroom apartment in Boston",South Boston Waterfront,Entire home/apt,2.0,2.0,91,200.0,0,13,92.0,0
1880's BostonTownhouse- Redline w/Private-Bathroom,Dorchester,Private room,1.0,1.5,1,52.0,137,362,100.0,1
✪2 Double beds 4mi to Downtown near subway freepk✪,Dorchester,Private room,1.0,2.0,5,251.0,11,37,98.0,1
Private Room 3 Min Walk to Savin Hill Subway Stop,Dorchester,Private room,2.0,1.0,1,55.0,364,100,95.0,0
✪Sunny King+sofa SmartTV 4m to DWTN FreePk• walk2T,Dorchester,Private room,1.0,2.0,6,235.0,185,40,96.0,1
Fun Houseboat,Charlestown,Entire home/apt,1.0,1.0,2,265.0,355,55,96.0,1
Comfortable & Convenient ( Centrally Located).,Fenway,Entire home/apt,2.0,1.0,91,192.0,0,17,91.0,0
Boston /Logan Airport & Train 3 bed Apartment 2FL,East Boston,Entire home/apt,3.0,1.0,1,194.0,323,204,97.0,1
Cozy 1 bedroom apartment in Roslindale,Roslindale,Entire home/apt,1.0,1.0,30,95.0,1,76,98.0,1
Beacon Hill Brownstone | 1BRD #8,Beacon Hill,Entire home/apt,1.0,1.0,2,118.0,185,66,89.0,0
Beacon Hill | Mass General Hospital | 1BR 1BA #6,Beacon Hill,Entire home/apt,1.0,1.0,2,118.0,211,73,96.0,0
1 Bdr Apt. Beacon Hill | Mass General Hospital #4,Beacon Hill,Entire home/apt,1.0,1.0,2,118.0,2,81,90.0,0
Beacon Hill Historic Charles|1BR 1BA #2,Beacon Hill,Entire home/apt,1.0,1.0,2,118.0,8,70,90.0,0
Quaint Cute Historic Charles|Studio #9,Beacon Hill,Entire home/apt,1.0,1.0,2,109.0,3,56,90.0,0
Modern in Historic Charles|Designed Studio #7,Beacon Hill,Entire home/apt,1.0,1.0,2,109.0,0,51,94.0,0
Historic Beacon Hill Studio | #3,Beacon Hill,Entire home/apt,1.0,1.0,2,109.0,183,44,90.0,0
Quiet Home + Near Downtown + Amazing Backyard!,East Boston,Entire home/apt,3.0,1.0,2,150.0,0,22,97.0,1
CLEAN Smart Room w/Roof Deck Near Airport & D-town,East Boston,Private room,1.0,1.0,1,83.0,358,441,94.0,0
Jamaica Plain apartment,Jamaica Plain,Entire home/apt,1.0,1.0,91,70.0,0,14,97.0,0
"Back Bay, Comm Ave, perfect for College Graduation",Back Bay,Entire home/apt,1.0,1.0,2,220.0,0,83,99.0,0
Newly renovated modern 1 bedroom apartment,Roxbury,Entire home/apt,1.0,1.0,91,139.0,365,38,84.0,0
Cozy and Convenient ( Great Location),Fenway,Entire home/apt,2.0,1.0,91,162.0,0,10,86.0,0
Downtown- on the Boston Common,Downtown,Entire home/apt,1.0,1.0,1,125.0,215,183,96.0,1
Large clean private room close to downtown,Mission Hill,Private room,1.0,1.0,2,100.0,180,51,95.0,1
Classic New England apartment on MBTA Red line,Dorchester,Entire home/apt,2.0,1.0,28,96.0,145,99,93.0,0
Private Room near Harvard / Longwood Medical area,Mission Hill,Private room,1.0,1.0,5,75.0,0,23,97.0,0
Free Parking at Newly Renovated 1 Bed Basement Unt,Fenway,Entire home/apt,1.0,1.0,28,250.0,255,189,94.0,0
Nice clean room to stay,Roxbury,Private room,1.0,1.0,91,69.0,365,11,95.0,0
"Two Bedroom Apartment, Parking Included.",Roxbury,Entire home/apt,2.0,1.0,1,79.0,243,346,93.0,0
3rd Floor Efficiency Perfect for City Explorers,East Boston,Entire home/apt,2.0,1.0,1,94.0,66,250,96.0,0
Shelly's Bunk Room,East Boston,Private room,1.0,1.0,1,53.0,298,282,96.0,1
Bunker Hill Beauty,Charlestown,Entire home/apt,1.0,1.0,91,90.0,0,21,98.0,1
#203 Boston New Central AC Private Queen Bed,Dorchester,Private room,1.0,2.0,30,49.0,289,37,96.0,1
#202 Boston private AC Queen BR 全楼禁烟 可讲国语,Dorchester,Private room,1.0,2.0,30,52.0,327,26,95.0,1
#204 Boston private AC BR 禁烟Female only,Dorchester,Private room,1.0,2.0,30,53.0,328,26,93.0,1
"Classy, cozy 2 BR, 2 Bath Boston condo",Roslindale,Entire home/apt,2.0,2.0,3,209.0,35,42,100.0,1
$199 Special! Modern City Triplex *Close to Center,Roxbury,Entire home/apt,4.0,2.0,3,500.0,55,113,98.0,1
Loft Style 1 Mile from Downtown Boston Brownstone.,Roxbury,Entire home/apt,1.0,1.0,91,120.0,177,70,86.0,0
Newly Renovated Private Bedroom Close to  Airport,East Boston,Private room,1.0,1.0,1,80.0,0,38,98.0,1
Cozy Room in Beacon Hill/MIT/MGH! (Room A),Beacon Hill,Private room,1.0,1.0,28,120.0,330,168,95.0,0
Cozy Room in the Heart of Boston (MGH/Downtown),Beacon Hill,Private room,1.0,1.0,28,120.0,180,187,95.0,0
cute and cozy 3rd floor apt,Roslindale,Entire home/apt,2.0,1.0,1,115.0,365,12,93.0,0
North End 1 BR + Patio in Little Italy,North End,Entire home/apt,1.0,1.0,10,159.0,305,161,99.0,1
Great South End / Back Bay location! 1 bed condo,South End,Entire home/apt,1.0,1.0,2,298.0,260,51,100.0,1
"Bright and Spacious 3 BedR., 1 bath",Dorchester,Entire home/apt,3.0,1.0,2,166.0,47,44,98.0,0
Large Private Bedroom Close to Airport,East Boston,Private room,1.0,1.0,2,160.0,0,16,99.0,1
#205 Boston Private Room 双床 ( family ; females),Dorchester,Private room,1.0,2.0,30,50.0,365,31,94.0,1
Private room in Jamaica Plain condominium.,Jamaica Plain,Private room,1.0,1.0,3,45.0,0,29,93.0,0
Private Suite in South Boston | Convenient to BCEC,South Boston,Private room,1.0,1.0,1,150.0,90,90,99.0,1
Sunny Private Room in Beautiful Chestnut hill,Brighton,Private room,1.0,1.0,91,65.0,296,11,96.0,0
Southie Townhome with Private Room/Bath/Entrance!,South Boston,Private room,1.0,1.0,1,100.0,90,119,94.0,0
"Boston South End: Gorgeous 3-bed, ideal location!",South End,Entire home/apt,3.0,1.0,1,223.0,145,129,96.0,1
Your Other Home in a Different Town,Hyde Park,Private room,1.0,1.0,91,80.0,179,20,85.0,0
Boston #4 @ Samuel Adam Brewery near (T),Jamaica Plain,Private room,1.0,1.0,91,55.0,226,45,92.0,0
2 Bed / 1.5 Bath Condo. 5-minute walk to Red Line.,Dorchester,Entire home/apt,2.0,1.5,1,165.0,0,78,98.0,1
Shelly's Garden Room,East Boston,Private room,1.0,1.0,1,53.0,293,150,95.0,1
Brighton - 5 Min walk Green line,Brighton,Private room,1.0,1.5,1,39.0,84,85,95.0,0
The Moontower Apartment,Downtown,Private room,1.0,1.5,91,50.0,0,63,93.0,0
Single family house 1 bedroom with lovely backyard,Charlestown,Entire home/apt,1.0,1.5,2,236.0,69,13,97.0,0
Huge Bedroom & Private Bath in House of Porches,Jamaica Plain,Private room,1.0,1.0,3,70.0,0,48,98.0,1
Friendly family single room,Mattapan,Private room,1.0,1.0,1,44.0,83,39,94.0,0
(104) Back Bay Studio - Prime Location/ St Botolph,Back Bay,Entire home/apt,1.0,1.0,1,114.0,126,157,90.0,0
Comfort and convenience in Boston with parking,Roslindale,Private room,1.0,1.0,1,69.0,111,33,96.0,0
The Historic House in the North End/Waterfront,North End,Entire home/apt,3.0,2.0,91,1052.0,0,104,98.0,1
45%off Chic Retreat near Downtown Disney+ Freeprkg,Dorchester,Entire home/apt,5.0,2.0,2,584.0,361,32,94.0,1
Easy access to downtown Boston,Roxbury,Private room,1.0,1.0,91,82.0,60,15,100.0,1
Lower level private room and bath in Savin Hill,Dorchester,Hotel room,1.0,1.0,1,75.0,352,102,99.0,1
Boston king Whole Apartment with 4BRs free parking,Dorchester,Private room,4.0,1.0,1,250.0,364,44,83.0,0
"Two nice rooms w/private bath, parking",Brighton,Private room,2.0,1.0,2,85.0,52,56,97.0,1
Minion 3? Convention/Subway/Beach 130-3,South Boston,Entire home/apt,2.0,1.0,91,140.0,365,92,97.0,0
Comfy Room near Harvard / Longwood Medical Area,Mission Hill,Private room,1.0,1.0,7,75.0,0,51,98.0,0
Symphony Place,Fenway,Entire home/apt,1.0,1.0,2,200.0,83,112,99.0,1
Large Room Near Downtown Boston,Roxbury,Private room,1.0,1.0,91,82.0,180,22,95.0,1
Historic 3+ Bedroom Charlestown Townhouse,Charlestown,Entire home/apt,3.0,2.5,91,300.0,0,14,97.0,0
"Bright, Clean Private room with Private Bathroom.",Allston,Private room,1.0,1.0,14,80.0,336,148,95.0,0
Newly renovated 3 bedroom  w/wifi & parking,Brighton,Entire home/apt,3.0,1.0,2,175.0,72,218,98.0,1
Sunny room and private bathroom- Brighton center,Brighton,Private room,1.0,1.0,3,67.0,0,48,94.0,0
Free Parking 2 Bed 1 Bath Steps from BU/Kenmore,Fenway,Entire home/apt,2.0,1.0,28,250.0,167,106,92.0,0
"Beautiful, modern 1BR Penthouse in heart of Boston",South Boston,Entire home/apt,1.0,1.0,2,279.0,0,80,98.0,1
Del’s Place,Roxbury,Entire home/apt,2.0,1.5,3,220.0,327,55,96.0,1
Unwind from City Vibe in Modern/Bright PrivateRoom,Roslindale,Private room,1.0,1.0,2,60.0,364,30,94.0,0
Stylish 2 bedroom in the historical North End,North End,Entire home/apt,2.0,1.0,1,300.0,270,137,95.0,0
Modern 3 Bed - Steps from Prudential #28,Back Bay,Entire home/apt,3.0,1.0,91,165.0,0,37,94.0,0
Private room.  Very close to new train Station,Hyde Park,Private room,1.0,1.0,2,90.0,357,27,93.0,0
Single room,Allston,Private room,1.0,1.0,91,82.0,365,44,95.0,0
Cozy 2BR in Heart of Southie,South Boston,Entire home/apt,2.0,1.0,2,149.0,23,122,97.0,1
Minion 2? Downtown/Convention/Subway/Beach 130-2,South Boston,Entire home/apt,2.0,1.0,91,175.0,365,81,96.0,0
Newly Renovated Spacious Apartment in Boston,Roslindale,Entire home/apt,2.0,1.5,1,175.0,121,130,99.0,1
Abigayle's Bed and Breakfast Single M263 S4,Fenway,Private room,1.0,1.0,2,130.0,198,40,99.0,1
Private Deck & Parking For Rent. Location!,Bay Village,Entire home/apt,1.0,1.0,2,229.0,167,177,98.0,1
4 Beds & 2 Bath ~ Best Location in Downtown Boston,Fenway,Entire home/apt,2.0,2.0,91,515.0,243,90,92.0,0
Boston/Brookline Private 1 BR/Bath w/ Free Parking,Brighton,Entire home/apt,1.0,1.0,1,100.0,164,198,91.0,0
"private room, private bathroom with parking",Allston,Private room,1.0,1.0,28,89.0,344,210,95.0,0
Astonishing 1 Bed South End Boston's Best Location,South End,Entire home/apt,1.0,1.0,28,268.0,319,100,100.0,1
Beacon Hill Designer Suite with Roof deck,Beacon Hill,Entire home/apt,1.0,1.0,28,132.0,311,50,99.0,1
Cozy bedroom near Harvard,Allston,Private room,1.0,1.0,1,87.0,365,73,96.0,0
Minion? *Family*Tourist/Convention/Subway 130-1,South Boston,Entire home/apt,4.0,2.0,91,400.0,365,43,96.0,0
"Great Location,Near T, Zip Car Pickup & Blue Hills",Mattapan,Entire home/apt,3.0,1.0,2,77.0,0,130,98.0,1
"SPACIOUS for Friendly Roommates, w/ All utilities",Dorchester,Private room,1.0,1.5,91,45.0,364,32,89.0,1
"Private room and Private bathroom,Amazing location",Allston,Private room,1.0,1.0,28,110.0,321,228,93.0,0
Huge Loft in the Heart of Boston | Walk Everywhere,Bay Village,Private room,1.0,1.0,2,300.0,270,104,98.0,1
Cozy Apartment near BC w/parking and keyless entry,Brighton,Entire home/apt,1.0,1.0,1,70.0,0,152,95.0,1
Super Convenient 2BR 1 Bath Renovated!! Sleeps 4,Brighton,Entire home/apt,2.0,1.0,28,200.0,365,28,92.0,0
Entire 1-bedroom Apartment Near Downtown/Longwood,Roxbury,Private room,1.0,1.0,28,60.0,151,103,99.0,1
"Clean, spacious condo just steps from the MBTA",Brighton,Entire home/apt,2.0,1.0,2,180.0,235,73,100.0,1
Richmond's Cozy Colonial near Lower Mills,Mattapan,Private room,1.0,1.5,91,55.0,0,28,99.0,0
Private bedroom in large renovated high rise condo,West End,Private room,1.0,1.0,28,125.0,83,37,98.0,0
BOSTON RED-3 MIN TO GREEN LINE T A/C in the room,Allston,Private room,1.0,1.0,91,61.0,0,57,92.0,0
3 MIN TO GREEN LİNE- BOSTON BLUE ROOM,Allston,Private room,1.0,1.0,91,57.0,0,125,94.0,0
Comfy 1BR,Dorchester,Private room,1.0,1.0,2,62.0,174,168,96.0,1
"Beautiful 4BD/2BA Gem! Near airport, city, subway!",East Boston,Entire home/apt,4.0,2.0,1,193.0,70,182,93.0,0
Large apartment for up to 8 ppl/1st floor,Dorchester,Entire home/apt,2.0,1.5,1,196.0,345,13,89.0,0
Large apartment for up to 8 ppl/2nd floor,Dorchester,Entire home/apt,2.0,1.5,1,196.0,342,10,87.0,0
Large apartment for up to 8 ppl/3rd floor,Dorchester,Entire home/apt,2.0,1.5,1,200.0,346,24,98.0,0
Beautiful 1 bedroom apartment 1st floor,Dorchester,Entire home/apt,1.0,1.5,1,97.0,345,13,98.0,0
Beautiful 1-bedroom apartment/2nd floor,Dorchester,Entire home/apt,1.0,1.5,1,99.0,342,13,95.0,0
Sunset 206 GreenLine | 1BR 1BA | Walk to Beth Israel Deaconess and the GreenLine!,Mission Hill,Entire home/apt,1.0,1.0,32,91.0,189,36,96.0,0
Sunset 306 GreenLine | 1BR 1BA | Walk to Dana Farber and the GreenLine!,Mission Hill,Entire home/apt,1.0,1.0,32,93.0,183,43,96.0,0
Sunset 506 GreenLine | 1BR 1BA | Walk to Boston Children's and the GreenLine Trolley!,Mission Hill,Entire home/apt,1.0,1.0,32,99.0,160,35,94.0,0
Sunset 404 GreenLine | 1BR 1BA | Walk to Brigham and Women's and GreenLine Trolley!,Mission Hill,Entire home/apt,1.0,1.0,32,96.0,160,29,90.0,0
Sunset 604 GreenLine | 1BR 1BA | Falkner Hospital and the GreenLine!,Mission Hill,Entire home/apt,1.0,1.0,32,103.0,189,35,92.0,0
33rd Floor - Luxury Downtown Boston Penthouse,West End,Entire home/apt,3.0,2.5,91,829.0,365,64,99.0,0
Classic Wellington Hill Guest House,Mattapan,Entire home/apt,3.0,1.0,1,137.0,0,152,95.0,0
Comfy room 3 min to T stop-easy access to Boston,Charlestown,Private room,1.0,1.0,28,50.0,176,12,98.0,1
Beautiful Modern 3 Bedroom Condo - Boston (Entire),Roslindale,Entire home/apt,3.0,1.0,2,165.0,167,86,97.0,1
"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",Fenway,Entire home/apt,1.0,1.0,9,130.0,41,13,98.0,1
Quality By Jamaica Pd and Arboretum 20min Boston.,Jamaica Plain,Entire home/apt,2.0,1.0,3,158.0,357,52,99.0,1
Savin Hill-Spacious/Modern 3 BR/2BA close to Train,Dorchester,Entire home/apt,3.0,2.0,2,294.0,107,143,95.0,0
Great Boston Place! Close to downtown & airport!,East Boston,Entire home/apt,1.0,1.0,5,65.0,0,63,99.0,1
