name,type,borough,street,city,zip_code,state,latitude,longitude,average_rating,num_reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified,place_id
Buffalo Joe's - Clark St.,Chicken wings restaurant,,812 Clark St,Evanston,60201,Illinois,42.0498045,-87.6824917,4.3,1438,89,51,92,248,958,363,OPERATIONAL,$,True,ChIJNVOaAAzQD4gRl6c-NeXvy9A
Chrysler Dodge Jeep Ram Of Chicago,Jeep dealer,West Ridge,5950 N Western Ave,Chicago,60659,Illinois,41.9897041,-87.6899337,4.4,370,50,4,4,6,306,78,OPERATIONAL,,True,ChIJhySQAijRD4gRTkmuwLCrdAs
Next Door Bistro,American restaurant,,250 Skokie Blvd,Northbrook,60062,Illinois,42.1479448,-87.7989562,4.3,135,12,4,3,35,81,71,OPERATIONAL,$$,True,ChIJs5eysTnBD4gRZr_tcxHbaj4
Naxos A Greek Island Restaurant,Greek restaurant,,933 W Irving Park Rd,Itasca,60143,Illinois,41.973924,-88.030573,4.6,1064,21,25,50,148,820,442,OPERATIONAL,$$,True,ChIJHyKlj-etD4gRd9e-vATOOCY
Dozika Restaurant,Asian restaurant,,1018 Davis St,Evanston,60201,Illinois,42.0468566,-87.6860383,4.6,154,5,2,5,31,111,196,OPERATIONAL,$$,True,ChIJDfviK1nRD4gRHCI39-HV9Os
Top View Restaurant,Family restaurant,South Side,4715 W 63rd St,Chicago,60629,Illinois,41.7782059,-87.7404479,4.3,1070,67,35,81,225,662,264,OPERATIONAL,$,True,ChIJRRBP3wExDogRLXIDNcypdUk
Giordano's,Pizza restaurant,Clearing East,6314 S Cicero Ave,Chicago,60638,Illinois,41.7778767,-87.7426797,4.3,4366,318,118,308,932,2690,1998,OPERATIONAL,$$,True,ChIJ2QNz8f0wDogRwocNEix_NQs
Lou Malnati's Pizzeria,Pizza restaurant,Clearing East,6456 S Cicero Ave,Chicago,60638,Illinois,41.774966,-87.742635,4.4,3076,145,95,239,651,1946,1581,OPERATIONAL,$$,True,ChIJG0p3O_wwDogRf8HaoAPrWQ0
Josephine's Southern Cooking,Soul food restaurant,South Side,436 E 79th St,Chicago,60619,Illinois,41.7512581,-87.6134507,3.8,620,87,51,64,112,306,216,OPERATIONAL,$$,True,ChIJR_bIrrYoDogRuVb91LgsRYo
Cafe Ba-Ba-Reeba!,Spanish restaurant,Sheffield Neighbors,2024 N Halsted St,Chicago,60614,Illinois,41.9189768,-87.6487012,4.6,5422,95,78,263,971,4015,3884,OPERATIONAL,$$,True,ChIJXxwm3BnTD4gR1Y9NlVH_RU8
Mac's Restaurant,Diner,,812 W Higgins Rd,Park Ridge,60068,Illinois,41.9865121,-87.8357949,4.7,1402,23,9,52,204,1114,440,OPERATIONAL,$,True,ChIJ0x9e1PLJD4gRJE_bIbyU4oM
Roanoke Restaurant,Restaurant,Chicago Loop,135 W Madison St,Chicago,60602,Illinois,41.8818554,-87.6319806,4.3,1631,78,75,135,402,941,1581,OPERATIONAL,$$,True,ChIJAdXyvrssDogRfPeijP0aa1k
Beatnik On The River,Mediterranean restaurant,Chicago Loop,180 N Wacker Dr,Chicago,60606,Illinois,41.8851748,-87.6371784,4.1,2427,185,138,241,438,1425,4424,OPERATIONAL,$$$,True,ChIJS0kqaTItDogRXIgU7nCVHKQ
Hoyt's Chicago,American restaurant,Chicago Loop,71 E Wacker Dr,Chicago,60601,Illinois,41.8873941,-87.625694,3.8,200,32,12,20,44,92,191,OPERATIONAL,$$,True,ChIJbQekZ7AsDogR4IdJdOUjq_Q
The L Station,Restaurant,Chicago Loop,186 N Wells St,Chicago,60606,Illinois,41.8853379,-87.6341608,4.3,629,63,33,26,49,458,338,OPERATIONAL,$$,True,ChIJDQ2ZfpMtDogR93yPZkwW-Nk
FireLake Grill House and Cocktail Bar,Bar & grill,Chicago Loop,221 N Columbus Dr,Chicago,60601,Illinois,41.8862313,-87.6200263,3.8,266,32,21,36,61,116,321,OPERATIONAL,,True,ChIJrze1LlgrDogRAyf025kpMPE
Forum 55,Restaurant,Chicago Loop,55 E Monroe St,Chicago,60603,Illinois,41.8806273,-87.6257022,4.3,164,4,5,20,41,94,66,OPERATIONAL,$,False,ChIJQYmkeKQsDogRI7ZFEEivzyY
Chez Joël,French restaurant,Near West Side,1119 W Taylor St,Chicago,60607,Illinois,41.8692177,-87.6550919,4.7,505,9,7,16,73,400,702,OPERATIONAL,$$,True,ChIJB11Kt-MsDogRdRcKFaGscAI
Adorn Bar & Restaurant,Fine dining restaurant,Streeterville,120 E Delaware Pl,Chicago,60611,Illinois,41.8993714,-87.6251633,4.4,140,10,7,9,12,102,319,OPERATIONAL,,True,ChIJ3_uIxFPTD4gRcWB6knYJZQo
Zimi's Pizza and Grill,Restaurant,West Ridge,6954 N Western Ave,Chicago,60645,Illinois,42.0084586,-87.6903569,4.9,371,7,2,3,15,344,120,OPERATIONAL,$$,True,ChIJP2XWzvfRD4gR5QPMg_i7CVY
Siam Pasta,Thai restaurant,West Ridge,7416 N Western Ave,Chicago,60645,Illinois,42.0164012,-87.6905063,4.3,205,15,7,15,34,134,141,OPERATIONAL,$,True,ChIJTXe-3izQD4gRNj454d9WUO0
Dastarkhwan,Restaurant,West Ridge,6418 N Western Ave,Chicago,60645,Illinois,41.998277,-87.690267,4.5,234,23,4,4,13,190,96,OPERATIONAL,$$,True,ChIJ6_lgtAnRD4gRexfcTVaoamU
Mullen's Sports Bar & Grill,Restaurant,West Ridge,7301 N Western Ave,Chicago,60645,Illinois,42.0142619,-87.6898722,4.5,619,19,12,42,134,412,277,OPERATIONAL,$,True,ChIJz0x74NLRD4gR1VlNagcwhQg
Eng's Asian Cuisine,Chinese restaurant,West Ridge,7300 N Western Ave,Chicago,60645,Illinois,42.014448,-87.690794,4.0,284,41,14,20,50,159,114,OPERATIONAL,$,True,ChIJz9SBH9PRD4gRUasIY34uILU
Al Safa Mediterranean Restaurant,Middle Eastern restaurant,West Ridge,3146 W Touhy Ave,Chicago,60645,Illinois,42.0122178,-87.7086144,4.6,723,48,8,5,36,626,341,OPERATIONAL,$$,True,ChIJCb5Xg_DPD4gRswCHbPMmUQc
Garden of Eden,Mediterranean restaurant,West Ridge,7156 N California Ave,Chicago,60645,Illinois,42.0117373,-87.6998832,4.7,120,2,2,5,14,97,51,OPERATIONAL,,True,ChIJBT-qNSrOD4gRwrDVmHpzN-4
Queen K's Kitchen,Restaurant,West Ridge,7210 N California Ave,Chicago,60645,Illinois,42.0124163,-87.6999674,4.4,127,10,5,3,10,99,221,OPERATIONAL,$$,True,ChIJlwN35FXTD4gRS0dwI1pYR0A
R Public House,Pub,Rogers Park,1508 W Jarvis Ave,Chicago,60626,Illinois,42.0162849,-87.6685864,4.6,1081,20,18,51,178,814,632,OPERATIONAL,$$,True,ChIJe53KQk3QD4gRJLZOGDPd0ck
