name,type,borough,street,city,zip_code,state,latitude,longitude,average_rating,num_reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified,place_id
"Antepli Mediterranean Grill,Baklava&Kunafa",Turkish restaurant,Albany Park,4849 N Kedzie Ave,Chicago,60625,Illinois,41.9698633,-87.7080632,4.5,1157,92,16,35,64,950,635,OPERATIONAL,$$,True,ChIJhy-Abf_ND4gRNy5L6Oq0G_Y
Bodega Bay Chicago,Sandwich shop,Wicker Park,2007 W North Ave,Chicago,60647,Illinois,41.9102526,-87.6777854,4.9,140,2,3,1,0,134,66,OPERATIONAL,$,True,ChIJR4q6sj3TD4gREoU353g3kZo
Andiamo Pizzaria,Pizza restaurant,Lake View,2814 N Halsted St,Chicago,60657,Illinois,41.9332129,-87.6492881,4.5,133,8,6,5,7,107,335,OPERATIONAL,$$,False,ChIJDf1kyQfTD4gRDhWI4iLHl7k
White Castle,Fast food restaurant,South Loop,2140 S Wabash Ave,Chicago,60616,Illinois,41.8531335,-87.6259912,3.7,2442,318,172,413,551,988,507,OPERATIONAL,$,True,ChIJIXveqn0sDogR8ervJbCHIK0
DealerRater,Car dealer,West Loop,300 S Riverside Plaza STE 1000,Chicago,60606,Illinois,41.8776432,-87.6387339,4.2,188,32,1,3,5,147,4,OPERATIONAL,,True,ChIJ3cHbACGD44kRPErB5GN5llA
Taco Moro,Taco restaurant,Schorsch Forest View,4640 N Cumberland Ave,Chicago,60656,Illinois,41.9643052,-87.8373662,4.6,768,34,19,24,39,652,215,OPERATIONAL,$$,True,ChIJYZ1OtTbLD4gRYUCVmZL9GeY
Sammy's Breakfast,Breakfast restaurant,South Side,250 E 103rd St,Chicago,60628,Illinois,41.7076116,-87.6167034,3.8,339,46,18,47,76,152,66,OPERATIONAL,$,True,ChIJf-vjoncmDogRNdnfCTpCJd4
Fried Rice Express,Chinese restaurant,Union Ridge,7108 W Higgins Ave,Chicago,60656,Illinois,41.980868,-87.805137,4.3,235,19,8,17,37,154,53,OPERATIONAL,$,True,ChIJa6dPJmPJD4gRMizTuOC8zxA
Pat's Pizza & Ristorante,Italian restaurant,Wrightwood Neighbors,2679 N Lincoln Ave,Chicago,60614,Illinois,41.9308374,-87.6558397,4.5,785,35,23,34,113,580,459,OPERATIONAL,$$,True,ChIJG-gqggHTD4gRX2s6JJFR490
D'Nuez - Mexican Fusion Restaurant (Pilsen),Fusion restaurant,Heart of Chicago,2000 W 18th St,Chicago,60608,Illinois,41.857813,-87.676152,4.3,927,78,28,70,154,597,557,OPERATIONAL,$$,True,ChIJBynf7AotDogRX5O3buWLb-g
LongHorn Steakhouse,Steak house,,9530 S Pulaski Rd,Oak Lawn,60453,Illinois,41.719351,-87.721688,4.0,3456,373,155,306,765,1857,1292,OPERATIONAL,$$,True,ChIJo9eTCBk7DogRU2Udg9STAD4
Sharks Fish Chicken & Grill,Fast food restaurant,Douglas,250 E 35th St,Chicago,60616,Illinois,41.831278,-87.619792,4.0,427,34,18,51,124,200,71,OPERATIONAL,$,True,ChIJucTFGQosDogRTLhZzisz88A
Antonio Ristorante Italiano,Italian restaurant,,280 N Rohlwing Rd,Itasca,60143,Illinois,41.9722937,-88.0320671,4.3,525,38,16,38,102,331,316,OPERATIONAL,$$,True,ChIJpVSeqMKtD4gRrVOOTu3IlVI
White Castle,Fast food restaurant,Irving Park East,3212 W Addison St,Chicago,60618,Illinois,41.946881,-87.7083733,4.0,2740,237,138,349,643,1373,481,OPERATIONAL,$,True,ChIJCd5LDJDND4gRL5sNKhmrfP8
White Castle,Fast food restaurant,South Side,4750 W 63rd St,Chicago,60629,Illinois,41.7788058,-87.7415509,3.9,2547,243,158,397,531,1218,226,OPERATIONAL,$,True,ChIJ_R3wBgIxDogRLhapsio9o7g
White Castle,Fast food restaurant,Edgewater,5940 N Ridge Ave,Chicago,60660,Illinois,41.9896823,-87.6703547,3.7,1780,247,134,284,392,723,314,OPERATIONAL,$,True,ChIJK7E11pDRD4gR8g5wOFrt7qo
LongHorn Steakhouse,Steak house,,1470 E Touhy Ave,Des Plaines,60018,Illinois,42.009974,-87.886914,4.4,2693,93,67,177,566,1790,1195,OPERATIONAL,$$,True,ChIJ27VGh1C2D4gRMKSIcX5wSBM
Petey's Gyros,Fast food restaurant,South Side,250 W 47th St,Chicago,60609,Illinois,41.8093379,-87.6331439,3.9,737,85,37,90,161,364,282,OPERATIONAL,$,True,ChIJw7dBb6QuDogRkOMBK6rogPc
Olive Garden Italian Restaurant,Italian restaurant,Avondale,3555 W Addison St,Chicago,60618,Illinois,41.946229,-87.717162,4.4,4130,179,115,330,894,2612,1586,OPERATIONAL,$$,True,ChIJ7UH3ApjND4gR9cYHrwTuaWM
White Castle,Fast food restaurant,Austin,5618 W North Ave,Chicago,60639,Illinois,41.909638,-87.766381,3.7,1619,183,122,279,378,657,71,OPERATIONAL,$,True,ChIJvccIzbrMD4gRNQJPDyLNffg
115 Bourbon Street,Restaurant,,3359 W 115th St,Merrionette Park,60803,Illinois,41.6833793,-87.7050804,4.3,3150,137,88,276,731,1918,2080,OPERATIONAL,$$,True,ChIJ7QYbQjE7DogR_e1m4Qyo0uQ
White Castle,Fast food restaurant,Tri-Taylor,2356 Roosevelt Rd,Chicago,60608,Illinois,41.8669054,-87.6857457,3.7,1683,211,129,316,376,651,57,OPERATIONAL,$,True,ChIJay58J3AtDogRhTzYwjwW_3s
