place_id,name,site,type,borough,street,city,zip,state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified
ChIJ7erZaGzXDIgRPsoVNrQVi3Y,Champaign Music Kabob,,Restaurant,,715 S Neil St,Champaign,61820,Illinois,40.1076541,-88.2440144,,,,,,,,1,OPERATIONAL,,True
ChIJQ3A7RpLXDIgRVkS2wteLKEw,Taco Bell,https://locations.tacobell.com/il/champaign/512-e--green-street.html?utm_source=yext,Fast food restaurant,Campustown,512 E Green St,Champaign,61820,Illinois,40.1104081,-88.2313903,3.2,174.0,57.0,6.0,19.0,35.0,57.0,20,OPERATIONAL,$,True
ChIJHfEixDfXDIgR0SBsjbDpCJk,Papa Johns Pizza,https://locations.papajohns.com/united-states/il/61820/champaign/106-east-green-street?utm_source=gmb,Pizza restaurant,Campustown,106 E Green St,Champaign,61820,Illinois,40.1103575,-88.2380164,3.4,181.0,43.0,14.0,19.0,30.0,75.0,136,OPERATIONAL,$,True
ChIJv5lMaT_XDIgRsEtHigVjhEY,McDonald's,https://www.mcdonalds.com/us/en-us/location/IL/CHAMPAIGN/616-E-GREEN-ST/36750.html?cid=RF:YXT:GMB::Clicks,Fast food restaurant,Campustown,616 E Green St,Champaign,61820,Illinois,40.11043,-88.229836,3.4,841.0,150.0,57.0,166.0,207.0,261.0,192,OPERATIONAL,$,True
ChIJhWBDnj_XDIgR4eniQCU_JxM,Subway,https://restaurants.subway.com/united-states/il/champaign/616-east-green-street?utm_source=yxt-goog,Sandwich shop,Campustown,616 E Green St Suite A,Champaign,61820,Illinois,40.1104989,-88.2296565,4.0,179.0,20.0,5.0,19.0,53.0,82.0,207,OPERATIONAL,$,True
ChIJ22CE9UvXDIgRmk4vgbZ-Qfg,Esquire Lounge,http://www.esquirelounge.com/,Restaurant,Downtown Champaign,106 N Walnut St,Champaign,61820,Illinois,40.1166055,-88.2423526,4.4,1276.0,37.0,21.0,84.0,358.0,776.0,271,OPERATIONAL,$,True
ChIJ7YBSXz_XDIgRGNTN8inplOQ,Paris super crepes,http://parissupercrepes.com/,Dessert restaurant,Campustown,601 S 6th St #106,Champaign,61820,Illinois,40.1110133,-88.2305987,4.4,465.0,19.0,12.0,33.0,113.0,288.0,595,OPERATIONAL,$,True
ChIJ78U1dTbXDIgRuJ0ERCkVFII,Jimmy John's,https://locations.jimmyjohns.com/il/champaign/sandwiches-9003.html?utm_source=google%20my%20business,Sandwich shop,Campustown,43 E Green St,Champaign,61820,Illinois,40.109783,-88.240813,3.9,225.0,27.0,12.0,25.0,58.0,103.0,26,OPERATIONAL,$,True
ChIJZS8hKvnZDIgRVja1xHExgTU,McDonald's,https://www.mcdonalds.com/us/en-us/location/IL/CHAMPAIGN/1812-N-NEIL/5673.html?cid=RF:YXT:GMB::Clicks,Fast food restaurant,,1812 N Neil St,Champaign,61820,Illinois,40.1375696,-88.2430711,3.5,1303.0,209.0,99.0,264.0,289.0,442.0,217,OPERATIONAL,$,True
ChIJXV9mjk3XDIgRDIVbrstTQFg,Kohinoor Indian Restaurant and Lounge,http://www.kohinoorchampaign.com/,Restaurant,Downtown Champaign,6 E Columbia Ave,Champaign,61820,Illinois,40.1212553,-88.2427999,4.4,1340.0,94.0,34.0,81.0,226.0,905.0,441,OPERATIONAL,$$,True
ChIJs2KPd0zXDIgRz0rdMXgEr_Y,Pizzeria Antica,http://anticachampaign.com/,Pizza restaurant,Downtown Champaign,10 E Chester St,Champaign,61820,Illinois,40.1168491,-88.2430176,4.4,504.0,24.0,15.0,39.0,91.0,335.0,302,OPERATIONAL,$$,True
ChIJaVteXivXDIgRhoaYCPcgPC4,The Ribeye,https://www.theribeyerestaurant.org/,Restaurant,,1701 S Neil St,Champaign,61820,Illinois,40.0961589,-88.2454063,4.5,1335.0,36.0,38.0,87.0,206.0,968.0,265,OPERATIONAL,$$$,True
ChIJ8c7Y40vXDIgRotdSB70bTN8,Subway,https://restaurants.subway.com/united-states/il/champaign/45-east-university-ave?utm_source=yxt-goog,Sandwich shop,Downtown Champaign,45 E University Ave,Champaign,61820,Illinois,40.1158294,-88.2411124,3.0,43.0,13.0,4.0,6.0,10.0,10.0,230,OPERATIONAL,$,True
