station_name,latitude,longitude
Washington St at Griggs Rd,42.33833423719901,-71.13050930220197
Washington St at Melnea Cass Blvd,42.332817,-71.081198
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.340115122492364,-71.10061883926393
Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792
Community Path at Cedar Street,42.39407223665884,-71.11133694648744
Boylston St at Berkeley St,42.351141982547496,-71.07329249382019
Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114
Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664
Wasgatt Playground,42.4093300667225,-71.06381878293179
South End Library - Tremont St at W Newton St,42.341332,-71.076847
Boston Public Market,42.36254854409333,-71.05737358331679
Wilson Square,42.38567578752914,-71.11412136298895
Assembly Square T,42.39223284004628,-71.07746601104736
Broadway at Beacham St,42.39836059620832,-71.06373842814719
EF - North Point Park,42.369885,-71.06995699999997
Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516
Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970216
Elm St at White St,42.38952436305763,-71.11694140364307
The Lawn on D,42.344792,-71.044024
Mt Auburn,42.37478628706384,-71.13320231437683
Lewis Wharf at Atlantic Ave,42.363871,-71.050877
Boston Medical Center - E Concord St at Harrison Ave,42.336399153724976,-71.07306711393903
Oak Square - 615 Washington St,42.35057000000001,-71.16649100000002
Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316
Kendall T,42.362427842912396,-71.08495473861693
Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000002
359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
645 Summer St,42.34178089137191,-71.03987016504107
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763454147454,-71.04535996913908
Community Path at Lowell St,42.392525,-71.105587
30 Dane St,42.38100143038053,-71.10402522613184
Railroad Lot and Minuteman Bikeway,42.41608484403974,-71.15315407052549
Medford St at Charlestown BCYF,42.3804294744949,-71.06055721676968
New Balance - 20 Guest St,42.357329218677066,-71.14673539996147
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472
Stony Brook T Stop,42.316966,-71.10437399999998
MIT Hayward St at Amherst St,42.36085937353303,-71.0855185800756
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.337417484597296,-71.10286116600038
Foss Park,42.39108438146733,-71.09039425849916
Washington St at Waltham St,42.341574718737476,-71.06890439987183
Swan St. Park,42.412504507772105,-71.05842225271772
Packard Ave at Powderhouse Blvd,42.40449,-71.123413
75 Binney St,42.36550728505653,-71.0801375997653
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693
Canal St at Causeway St,42.36530094929082,-71.06092190993877
Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497
Curtis Hall - South St at Centre St,42.309054,-71.11543
