neighbourhood,room_type,bathrooms,bedrooms,price,number_of_reviews,review_score,is_superhost
West Town,Entire home/apt,1.0,2.0,102.0,114,94.0,0
North Lawndale,Entire home/apt,1.0,1.0,74.0,154,98.0,1
Lincoln Square,Private room,1.0,1.0,57.0,124,98.0,1
West Town,Private room,1.0,1.0,65.0,117,97.0,1
Avondale,Entire home/apt,1.0,2.0,89.0,152,94.0,0
North Center,Entire home/apt,1.0,2.0,132.0,168,98.0,1
Logan Square,Entire home/apt,1.0,1.0,90.0,287,98.0,0
Logan Square,Entire home/apt,2.0,3.0,135.0,121,92.0,0
Jefferson Park,Entire home/apt,1.0,3.0,110.0,123,99.0,1
Avondale,Entire home/apt,1.0,1.0,71.0,241,98.0,1
East Garfield Park,Private room,2.0,1.0,49.0,203,97.0,1
Lake View,Private room,1.0,1.0,45.0,201,97.0,1
West Town,Entire home/apt,2.0,2.0,83.0,187,98.0,1
Grand Boulevard,Private room,1.0,1.0,39.0,138,97.0,0
Grand Boulevard,Private room,1.0,1.0,43.0,101,98.0,0
Logan Square,Entire home/apt,1.0,2.0,89.0,103,93.0,0
West Town,Entire home/apt,2.0,3.0,282.0,164,98.0,1
Douglas,Private room,1.0,1.0,59.0,168,96.0,1
Douglas,Private room,1.0,1.0,55.0,143,96.0,1
Lake View,Entire home/apt,1.0,1.0,93.0,263,96.0,1
Lower West Side,Private room,1.0,1.0,29.0,290,88.0,0
Lower West Side,Private room,1.0,1.0,29.0,263,87.0,0
Lower West Side,Private room,1.0,1.0,83.0,112,98.0,0
Near West Side,Entire home/apt,1.0,2.0,110.0,511,100.0,1
West Town,Entire home/apt,1.0,1.0,84.0,212,95.0,0
West Ridge,Private room,1.0,1.0,49.0,136,99.0,1
West Town,Private room,2.0,1.0,132.0,278,99.0,1
Lower West Side,Private room,1.0,1.0,29.0,213,85.0,0
Woodlawn,Private room,1.0,1.0,20.0,454,96.0,1
Near West Side,Entire home/apt,1.0,2.0,175.0,252,99.0,1
Lake View,Private room,1.0,1.0,89.0,139,99.0,1
Lower West Side,Private room,1.0,1.0,48.0,186,98.0,1
West Town,Entire home/apt,1.0,2.0,96.0,182,94.0,1
West Town,Entire home/apt,3.0,3.0,379.0,210,98.0,0
Lake View,Entire home/apt,1.0,3.0,200.0,303,96.0,1
Austin,Entire home/apt,1.0,3.0,139.0,109,99.0,1
West Town,Private room,1.0,1.0,30.0,143,95.0,1
North Center,Entire home/apt,1.0,2.0,106.0,122,98.0,1
Lake View,Entire home/apt,1.0,2.0,148.0,212,96.0,1
Avondale,Entire home/apt,1.0,2.0,128.0,144,100.0,1
Irving Park,Entire home/apt,1.0,3.0,60.0,105,96.0,0
East Garfield Park,Private room,2.5,1.0,27.0,373,95.0,0
Near West Side,Entire home/apt,2.5,3.0,187.0,269,96.0,1
North Lawndale,Entire home/apt,1.0,1.0,59.0,106,94.0,0
Washington Park,Entire home/apt,1.0,2.0,77.0,166,90.0,0
Near North Side,Private room,1.0,1.0,80.0,658,98.0,1
Logan Square,Entire home/apt,1.0,1.0,90.0,178,94.0,0
East Garfield Park,Private room,2.5,1.0,26.0,258,95.0,0
Irving Park,Entire home/apt,1.0,1.0,42.0,190,95.0,1
Woodlawn,Entire home/apt,1.0,3.0,111.0,191,93.0,0
Lincoln Park,Entire home/apt,1.0,1.0,100.0,228,93.0,0
Edgewater,Entire home/apt,1.0,1.0,75.0,181,96.0,0
East Garfield Park,Private room,2.5,1.0,23.0,356,95.0,0
Near North Side,Entire home/apt,0.0,3.0,218.0,131,96.0,0
West Town,Entire home/apt,1.0,2.0,68.0,179,93.0,0
West Town,Entire home/apt,1.0,2.0,80.0,179,94.0,0
Lincoln Park,Entire home/apt,1.0,2.0,200.0,143,98.0,1
Avondale,Entire home/apt,1.0,2.0,98.0,257,99.0,1
Edgewater,Private room,1.0,1.0,110.0,140,99.0,1
Near West Side,Entire home/apt,2.0,3.0,139.0,313,96.0,1
Lake View,Shared room,11.0,1.0,28.0,139,91.0,0
East Garfield Park,Entire home/apt,1.0,4.0,80.0,168,89.0,0
Lincoln Park,Private room,1.0,1.0,100.0,180,96.0,1
Lower West Side,Entire home/apt,1.0,2.0,55.0,209,88.0,1
Logan Square,Private room,1.0,1.0,47.0,156,98.0,1
Edgewater,Entire home/apt,1.0,2.0,75.0,196,99.0,1
Humboldt Park,Entire home/apt,1.0,2.0,79.0,201,93.0,0
East Garfield Park,Private room,2.5,1.0,23.0,385,96.0,0
Lake View,Entire home/apt,1.0,3.0,250.0,109,99.0,1
Near North Side,Entire home/apt,3.0,3.0,215.0,131,95.0,0
Irving Park,Entire home/apt,1.0,1.0,76.0,155,99.0,1
Near North Side,Entire home/apt,3.0,3.0,212.0,170,95.0,0
Logan Square,Entire home/apt,1.0,2.0,128.0,145,99.0,0
Near West Side,Entire home/apt,1.0,1.0,84.0,261,97.0,1
Lower West Side,Entire home/apt,1.0,2.0,104.0,253,97.0,1
Edgewater,Entire home/apt,1.0,1.0,80.0,194,98.0,1
West Town,Entire home/apt,1.0,2.0,120.0,207,99.0,1
Near West Side,Private room,1.0,1.0,55.0,236,96.0,1
Armour Square,Private room,1.0,1.0,65.0,145,99.0,0
South Lawndale,Entire home/apt,2.0,2.0,60.0,213,99.0,1
West Town,Private room,1.0,1.0,40.0,136,99.0,1
Logan Square,Entire home/apt,1.0,1.0,63.0,121,96.0,0
West Town,Entire home/apt,2.5,3.0,117.0,228,97.0,1
North Center,Entire home/apt,1.0,2.0,182.0,304,98.0,1
Lincoln Park,Entire home/apt,1.0,1.0,121.0,263,99.0,1
Logan Square,Entire home/apt,1.0,2.0,75.0,201,94.0,1
Irving Park,Entire home/apt,1.0,3.0,135.0,107,99.0,1
North Center,Entire home/apt,1.0,2.0,69.0,124,96.0,0
Armour Square,Private room,2.0,1.0,49.0,147,89.0,0
Lower West Side,Entire home/apt,3.0,3.0,269.0,130,97.0,0
Lake View,Entire home/apt,1.0,1.0,53.0,106,98.0,0
Lake View,Entire home/apt,1.0,2.0,115.0,146,98.0,1
Near North Side,Private room,1.0,1.0,78.0,213,99.0,1
Kenwood,Private room,1.0,1.0,40.0,196,98.0,1
East Garfield Park,Private room,2.0,1.0,49.0,248,97.0,1
Armour Square,Private room,2.0,1.0,29.0,160,90.0,0
Lincoln Park,Entire home/apt,1.0,1.0,103.0,234,97.0,1
Uptown,Private room,1.0,1.0,35.0,102,97.0,1
Edgewater,Entire home/apt,1.0,2.0,75.0,160,97.0,1
West Town,Private room,1.0,1.0,47.0,200,96.0,1
West Town,Entire home/apt,1.0,1.0,80.0,105,92.0,0
Hyde Park,Entire home/apt,1.0,1.0,65.0,160,97.0,1
Kenwood,Private room,2.0,1.0,67.0,128,97.0,0
Hyde Park,Private room,2.0,1.0,70.0,164,96.0,0
Lincoln Park,Entire home/apt,1.0,2.0,70.0,205,99.0,1
Armour Square,Private room,2.0,1.0,49.0,197,90.0,0
Edgewater,Private room,1.0,1.0,38.0,263,96.0,0
Logan Square,Entire home/apt,1.5,2.0,179.0,106,99.0,1
West Town,Entire home/apt,2.0,3.0,156.0,208,97.0,0
West Town,Entire home/apt,1.0,1.0,90.0,203,99.0,1
Irving Park,Entire home/apt,2.0,2.0,75.0,148,99.0,1
Edgewater,Entire home/apt,1.5,3.0,83.0,111,96.0,0
Near South Side,Entire home/apt,1.0,1.0,105.0,229,98.0,1
Lower West Side,Entire home/apt,1.0,2.0,175.0,101,98.0,1
West Town,Entire home/apt,3.5,5.0,335.0,174,97.0,1
